day,minute,order_id,courier_id,regime,pickup_dist_km,order_dist_km,tw_end,delivered_predicted,delivered_actual,slack_min,noise_min,on_time,on_time_8b,method
6,492,284087,2150.0,0,0.537,0.823,522,515.28,515.28,6.72,0.0,1,1,greedy
6,492,121834,2191.0,0,0.653,2.003,526,518.77,520.31,5.69,1.54,1,1,greedy
6,494,88252,1329.0,0,0.404,0.727,523,517.72,517.72,5.28,0.0,1,1,greedy
6,494,197013,489.0,0,0.133,0.826,523,506.22,508.87,14.13,2.65,1,1,greedy
6,494,562872,1674.0,0,0.62,1.115,523,517.9,518.1,4.9,0.19,1,1,greedy
6,494,552570,987.0,0,1.031,1.508,524,519.77,519.77,4.23,0.0,1,1,greedy
6,494,405547,1746.0,0,0.234,0.131,524,520.45,520.49,3.51,0.04,1,1,greedy
6,494,266894,2426.0,0,0.301,1.147,524,516.16,517.26,6.74,1.1,1,1,greedy
6,494,188259,996.0,0,0.304,1.535,524,520.44,520.9,3.1,0.46,1,1,greedy
6,496,226542,1240.0,0,0.136,0.379,527,526.51,526.51,0.49,0.0,1,1,greedy
6,498,69411,2170.0,0,0.125,0.047,527,511.87,514.46,12.54,2.59,1,1,greedy
6,498,281249,3345.0,0,0.625,0.688,527,513.26,513.83,13.17,0.58,1,1,greedy
6,498,492724,2106.0,0,0.103,1.319,528,514.19,514.19,13.81,0.0,1,1,greedy
6,500,40875,489.0,0,0.288,0.354,529,515.72,515.72,13.28,0.0,1,1,greedy
6,500,531861,1674.0,0,0.599,0.218,529,528.9,528.9,0.1,0.0,1,1,greedy
6,500,60048,272.0,0,0.745,1.022,530,519.15,519.15,10.85,0.0,1,1,greedy
6,500,127882,2466.0,0,0.804,1.598,532,524.59,525.37,6.63,0.78,1,1,greedy
6,500,523988,3241.0,0,0.71,2.268,535,532.49,533.31,1.69,0.81,1,1,greedy
6,502,437555,2854.0,0,0.95,0.895,531,527.89,528.26,2.74,0.38,1,1,greedy
6,502,164351,2771.0,0,0.271,0.326,531,517.96,517.96,13.04,0.0,1,1,greedy
6,502,402856,529.0,0,1.075,1.12,532,524.81,526.05,5.95,1.24,1,1,greedy
6,504,103788,1282.0,0,0.071,0.504,533,516.19,516.51,16.49,0.32,1,1,greedy
6,504,367527,489.0,0,0.143,0.939,533,528.99,528.99,4.01,0.0,1,1,greedy
6,504,284089,544.0,0,0.323,1.196,534,523.86,523.86,10.14,0.0,1,1,greedy
6,504,505744,2771.0,0,0.271,0.22,534,526.17,526.51,7.49,0.34,1,1,greedy
6,506,115798,3315.0,0,0.337,1.298,535,524.01,524.79,10.21,0.78,1,1,greedy
6,506,505745,114.0,0,0.47,1.226,536,524.53,525.53,10.47,1.0,1,1,greedy
6,508,440266,987.0,0,0.448,0.917,537,535.47,535.47,1.53,0.0,1,1,greedy
6,508,503160,114.0,0,0.305,0.605,538,536.34,536.34,1.66,0.0,1,1,greedy
6,508,286901,1328.0,0,0.209,0.193,539,524.06,524.06,14.94,0.0,1,1,greedy
6,508,309340,1947.0,0,0.204,1.015,539,534.83,534.83,4.17,0.0,1,1,greedy
6,510,474567,958.0,0,0.354,2.236,537,536.2,536.2,0.8,0.0,1,1,greedy
6,510,97560,1746.0,0,0.179,0.722,539,532.17,532.17,6.83,0.0,1,1,greedy
6,510,281250,2191.0,0,0.582,0.845,539,534.99,534.99,4.01,0.0,1,1,greedy
6,510,345373,2170.0,0,0.772,1.861,545,538.44,538.51,6.49,0.07,1,1,greedy
6,512,314986,5.0,0,0.809,2.023,541,540.28,540.29,0.71,0.02,1,1,greedy
6,512,205904,2771.0,0,0.332,0.86,543,540.39,541.53,1.47,1.14,1,1,greedy
6,512,115800,544.0,0,0.498,0.399,544,535.55,535.55,8.45,0.0,1,1,greedy
6,514,278349,3315.0,0,0.337,1.226,543,541.41,541.41,1.59,0.0,1,1,greedy
6,514,269781,2466.0,0,0.357,1.202,543,541.95,543.92,-0.92,1.97,0,1,greedy
6,514,205905,3345.0,0,0.114,0.85,543,526.26,526.26,16.74,0.0,1,1,greedy
6,514,286903,996.0,0,0.816,1.755,548,546.48,546.48,1.52,0.0,1,1,greedy
6,514,437558,2106.0,0,0.643,1.902,549,540.0,540.0,9.0,0.0,1,1,greedy
6,516,50621,2039.0,0,0.646,0.819,546,533.03,533.03,12.97,0.0,1,1,greedy
6,516,505747,2150.0,0,0.823,0.328,546,529.87,529.87,16.13,0.0,1,1,greedy
6,516,331477,489.0,0,0.248,2.353,556,555.28,556.06,-0.06,0.78,0,1,greedy
6,518,205906,529.0,0,0.564,0.845,547,540.89,541.61,5.39,0.73,1,1,greedy
6,518,21675,2150.0,0,0.839,0.301,548,543.64,543.64,4.36,0.0,1,1,greedy
6,518,306521,1947.0,0,0.204,0.629,548,545.98,545.98,2.02,0.0,1,1,greedy
6,518,47458,1225.0,0,0.6,2.049,554,547.43,547.43,6.57,0.0,1,1,greedy
6,520,261289,272.0,0,0.699,0.87,550,537.45,537.91,12.09,0.47,1,1,greedy
6,520,292436,1746.0,0,0.182,0.913,551,545.56,545.56,5.44,0.0,1,1,greedy
6,522,278351,1329.0,0,1.046,1.144,551,544.77,544.77,6.23,0.0,1,1,greedy
6,522,208902,3345.0,0,0.252,1.809,552,547.93,549.42,2.58,1.49,1,1,greedy
6,522,402858,1282.0,0,1.105,1.927,556,551.99,552.19,3.81,0.2,1,1,greedy
6,524,479861,2170.0,0,0.1,1.667,558,557.58,557.58,0.42,0.0,1,1,greedy
6,526,269783,537.0,0,0.508,1.631,556,548.33,548.33,7.67,0.0,1,1,greedy
6,526,56899,780.0,0,0.902,2.087,562,555.62,556.35,5.65,0.73,1,1,greedy
6,528,400194,1674.0,0,1.039,1.167,557,551.81,553.02,3.98,1.21,1,1,greedy
6,528,112829,2771.0,0,0.22,0.676,558,552.07,552.29,5.71,0.22,1,1,greedy
6,528,362035,2854.0,0,0.878,1.882,561,555.65,555.65,5.35,0.0,1,1,greedy
6,530,542229,2141.0,0,0.068,2.265,559,554.0,554.0,5.0,0.0,1,1,greedy
6,530,500509,272.0,0,0.699,1.129,559,557.11,558.77,0.23,1.66,1,1,greedy
6,530,437565,2431.0,0,1.005,0.887,560,550.21,550.21,9.79,0.0,1,1,greedy
6,530,534519,1240.0,0,0.379,2.25,565,556.54,556.85,8.15,0.32,1,1,greedy
6,532,238134,1746.0,0,0.24,0.995,561,560.14,560.34,0.66,0.19,1,1,greedy
6,532,334223,1225.0,0,0.291,0.28,561,556.33,557.19,3.81,0.86,1,1,greedy
6,532,492728,2106.0,0,0.473,1.176,562,558.13,558.43,3.57,0.3,1,1,greedy
6,532,97567,1947.0,0,0.074,1.099,562,560.03,560.03,1.97,0.0,1,1,greedy
6,532,386529,5.0,0,0.82,1.139,563,561.07,561.89,1.11,0.82,1,1,greedy
6,534,124821,2039.0,0,0.4,0.915,563,549.27,549.27,13.73,0.0,1,1,greedy
6,534,37675,529.0,0,1.12,0.699,563,560.48,560.83,2.17,0.36,1,1,greedy
6,534,367532,1225.0,0,0.055,0.329,564,563.62,563.62,0.38,0.0,1,1,greedy
6,534,508359,1674.0,0,0.218,0.189,564,559.3,559.3,4.7,0.0,1,1,greedy
6,534,557717,3345.0,0,0.059,0.177,564,553.95,553.95,10.05,0.0,1,1,greedy
6,534,130968,537.0,0,0.388,0.896,565,563.34,563.34,1.66,0.0,1,1,greedy
6,536,345380,2662.0,0,0.157,0.717,565,547.49,547.49,17.51,0.0,1,1,greedy
6,536,440274,2771.0,0,0.352,0.173,566,560.57,561.34,4.66,0.78,1,1,greedy
6,536,94496,3345.0,0,0.055,0.839,567,565.61,566.36,0.64,0.75,1,1,greedy
6,538,542232,544.0,0,0.119,2.114,567,561.14,561.14,5.86,0.0,1,1,greedy
6,540,185325,987.0,0,0.36,0.353,569,550.12,550.97,18.03,0.86,1,1,greedy
6,540,164354,2150.0,0,0.12,0.525,569,553.16,553.16,15.84,0.0,1,1,greedy
6,540,373073,2662.0,0,0.181,0.944,569,561.14,561.93,7.07,0.79,1,1,greedy
6,540,223634,2039.0,0,0.823,1.112,570,569.85,571.1,-1.1,1.25,0,1,greedy
6,540,109783,3315.0,0,0.515,1.26,570,560.62,560.62,9.38,0.0,1,1,greedy
6,542,326012,987.0,0,0.161,1.296,571,566.6,566.84,4.16,0.23,1,1,greedy
6,542,158199,1329.0,0,1.046,1.535,579,570.9,571.63,7.37,0.73,1,1,greedy
6,544,220806,2431.0,0,0.494,1.677,574,572.83,572.83,1.17,0.0,1,1,greedy
6,544,331481,996.0,0,1.07,0.956,574,567.85,567.85,6.15,0.0,1,1,greedy
6,544,44203,2426.0,0,1.192,1.864,578,574.2,574.79,3.21,0.59,1,1,greedy
6,544,458754,2662.0,0,0.278,0.787,578,574.26,574.71,3.29,0.44,1,1,greedy
6,546,255455,1240.0,0,0.127,0.182,575,563.19,563.28,11.72,0.1,1,1,greedy
6,546,381134,1328.0,0,0.256,2.455,581,573.24,573.24,7.76,0.0,1,1,greedy
6,548,490109,1947.0,0,0.167,1.365,578,577.16,578.77,-0.77,1.61,0,1,greedy
6,548,328709,2170.0,0,0.427,1.311,579,576.48,576.83,2.17,0.35,1,1,greedy
6,548,529242,1674.0,0,0.651,1.235,581,579.47,581.98,-0.98,2.51,0,1,greedy
6,550,511018,2771.0,0,0.433,1.138,579,578.03,578.03,0.97,0.0,1,1,greedy
6,550,562875,1282.0,0,1.105,1.605,580,579.22,579.22,0.78,0.0,1,1,greedy
6,550,523996,1240.0,0,0.127,0.969,581,576.58,576.81,4.19,0.23,1,1,greedy
6,550,133999,529.0,0,1.012,0.748,583,579.56,580.86,2.14,1.29,1,1,greedy
6,550,78910,272.0,0,1.099,1.485,585,583.26,583.88,1.12,0.62,1,1,greedy
6,550,143162,114.0,0,0.539,1.577,585,572.14,572.14,12.86,0.0,1,1,greedy
6,550,434917,489.0,0,1.143,1.102,588,578.53,578.53,9.47,0.0,1,1,greedy
6,552,194095,2141.0,0,0.696,0.836,581,571.13,571.13,9.87,0.0,1,1,greedy
6,552,264110,2150.0,0,0.268,2.195,587,578.27,578.27,8.73,0.0,1,1,greedy
6,554,226550,2466.0,0,1.202,0.73,583,574.56,575.14,7.86,0.58,1,1,greedy
6,554,513605,987.0,0,0.395,0.769,584,580.58,580.58,3.42,0.0,1,1,greedy
6,554,21682,1746.0,0,1.219,1.515,589,587.57,588.01,0.99,0.43,1,1,greedy
6,554,469302,780.0,0,0.902,2.324,589,587.28,587.47,1.53,0.2,1,1,greedy
6,556,484985,3345.0,0,0.882,0.867,586,584.6,584.6,1.4,0.0,1,1,greedy
6,558,508362,2854.0,0,0.211,1.571,587,577.27,579.01,7.99,1.74,1,1,greedy
6,558,531867,2170.0,0,0.395,0.252,588,586.02,586.02,1.98,0.0,1,1,greedy
6,558,555139,996.0,0,0.819,0.794,588,585.67,585.67,2.33,0.0,1,1,greedy
6,560,100767,1225.0,0,0.28,0.967,589,578.31,578.31,10.69,0.0,1,1,greedy
6,562,264113,5.0,0,1.002,1.61,591,588.39,588.56,2.44,0.17,1,1,greedy
6,562,456123,114.0,0,0.598,0.345,592,584.22,585.42,6.58,1.2,1,1,greedy
6,562,484986,958.0,0,0.111,0.385,592,570.25,571.63,20.37,1.38,1,1,greedy
6,562,477196,1225.0,0,0.218,0.234,592,586.18,586.18,5.82,0.0,1,1,greedy
6,562,284100,1947.0,0,0.268,0.634,592,588.9,588.9,3.1,0.0,1,1,greedy
6,562,40884,544.0,0,0.381,1.087,592,578.59,578.63,13.37,0.04,1,1,greedy
6,564,94499,3345.0,0,0.173,0.146,594,591.34,591.34,2.66,0.0,1,1,greedy
6,564,18495,1947.0,0,0.137,0.031,595,594.34,594.34,0.66,0.0,1,1,greedy
6,566,281257,1240.0,0,0.182,1.087,595,591.46,591.46,3.54,0.0,1,1,greedy
6,566,235263,1674.0,0,0.205,0.408,597,588.72,590.0,7.0,1.28,1,1,greedy
6,566,235262,529.0,0,0.699,1.959,630,606.35,606.35,23.65,0.0,1,1,greedy
6,568,158207,2771.0,0,0.358,1.285,597,596.11,596.11,0.89,0.0,1,1,greedy
6,568,173356,2854.0,0,0.758,1.061,598,596.86,598.97,-0.97,2.11,0,1,greedy
6,568,440278,2426.0,0,1.149,1.147,598,597.88,597.88,0.12,0.0,1,1,greedy
6,570,539755,2677.0,0,0.449,1.26,600,588.65,588.76,11.24,0.11,1,1,greedy
6,570,402867,2431.0,0,0.52,0.955,600,589.47,591.3,8.7,1.83,1,1,greedy
6,570,508365,987.0,0,0.455,1.902,605,604.79,605.26,-0.26,0.48,0,1,greedy
6,572,531870,2039.0,0,1.053,1.747,601,600.0,601.24,-0.24,1.24,0,1,greedy
6,572,516207,489.0,0,0.254,1.56,602,598.08,598.08,3.92,0.0,1,1,greedy
6,572,547402,1225.0,0,0.322,1.113,604,602.48,602.58,1.42,0.11,1,1,greedy
6,572,176352,2466.0,0,0.786,1.854,607,601.19,601.19,5.81,0.0,1,1,greedy
6,572,278359,1329.0,0,0.11,2.588,607,599.13,599.26,7.74,0.13,1,1,greedy
6,572,5589,529.0,0,0.699,1.474,638,628.98,629.33,8.67,0.35,1,1,greedy
6,574,508366,1328.0,0,0.949,1.155,604,596.03,596.03,7.97,0.0,1,1,greedy
6,574,339780,2150.0,0,0.68,0.288,604,590.57,592.54,11.46,1.97,1,1,greedy
6,574,272617,1674.0,0,0.15,1.367,608,605.73,606.7,1.3,0.97,1,1,greedy
6,576,334230,544.0,0,0.358,1.009,605,594.3,594.93,10.07,0.63,1,1,greedy
6,576,511021,996.0,0,0.962,0.743,606,604.29,604.29,1.71,0.0,1,1,greedy
6,576,214900,2141.0,0,1.551,1.596,610,606.97,606.97,3.03,0.0,1,1,greedy
6,576,505756,2854.0,0,0.724,1.284,635,618.07,618.07,16.93,0.0,1,1,greedy
6,578,246917,2677.0,0,0.429,0.964,607,604.58,604.58,2.42,0.0,1,1,greedy
6,578,402869,958.0,0,0.138,1.61,608,596.98,597.8,10.2,0.82,1,1,greedy
6,578,440284,2191.0,0,0.899,1.259,608,600.5,600.7,7.3,0.2,1,1,greedy
6,578,531872,114.0,0,1.003,2.541,620,618.6,619.46,0.54,0.86,1,1,greedy
6,582,82109,1328.0,0,0.118,0.352,612,604.06,604.06,7.94,0.0,1,1,greedy
6,582,137041,637.0,0,0.014,0.454,612,590.02,590.02,21.98,0.0,1,1,greedy
6,582,21687,1329.0,0,0.374,0.467,613,610.33,612.01,0.99,1.68,1,1,greedy
6,584,214903,987.0,0,0.11,0.253,613,611.9,612.06,0.94,0.16,1,1,greedy
6,584,490115,272.0,0,0.296,0.859,614,597.9,597.9,16.1,0.0,1,1,greedy
6,584,348077,836.0,0,0.054,1.969,614,605.34,605.34,8.66,0.0,1,1,greedy
6,584,269790,2150.0,0,0.267,1.497,619,609.69,609.69,9.31,0.0,1,1,greedy
6,586,451019,2426.0,0,0.298,0.812,616,611.4,611.4,4.6,0.0,1,1,greedy
6,586,235264,4228.0,0,0.063,1.819,617,606.14,606.14,10.86,0.0,1,1,greedy
6,588,334232,1746.0,0,0.097,0.978,617,601.22,601.22,15.78,0.0,1,1,greedy
6,588,511024,836.0,0,0.126,0.203,617,612.16,612.16,4.84,0.0,1,1,greedy
6,588,72584,2170.0,0,0.225,1.215,618,604.34,605.76,12.24,1.42,1,1,greedy
6,588,103804,1328.0,0,0.118,0.46,618,613.01,613.01,4.99,0.0,1,1,greedy
6,590,91395,780.0,0,0.633,1.85,619,615.28,615.28,3.72,0.0,1,1,greedy
6,590,505757,4228.0,0,0.054,0.798,620,617.44,617.44,2.56,0.0,1,1,greedy
6,590,350829,3345.0,0,1.651,0.664,620,615.18,615.18,4.82,0.0,1,1,greedy
6,590,392006,1947.0,0,0.574,2.241,629,622.46,622.46,6.54,0.0,1,1,greedy
6,592,217876,489.0,0,0.96,1.214,621,620.71,620.71,0.29,0.0,1,1,greedy
6,592,408316,1880.0,0,0.257,1.698,621,612.76,612.76,8.24,0.0,1,1,greedy
6,592,226558,1240.0,0,1.105,1.123,623,615.09,615.09,7.91,0.0,1,1,greedy
6,592,292443,958.0,0,0.236,0.417,623,606.58,606.58,16.42,0.0,1,1,greedy
6,592,400202,2426.0,0,0.054,0.353,623,618.88,618.88,4.12,0.0,1,1,greedy
6,594,394741,1880.0,0,0.1,0.383,623,620.9,620.9,2.1,0.0,1,1,greedy
6,594,170378,272.0,0,0.496,1.652,623,620.32,620.32,2.68,0.0,1,1,greedy
6,594,194105,1674.0,0,0.408,0.924,623,621.14,622.39,0.61,1.25,1,1,greedy
6,596,226560,2170.0,0,0.547,0.831,625,620.15,620.15,4.85,0.0,1,1,greedy
6,596,140111,544.0,0,1.054,1.767,625,624.18,624.4,0.6,0.21,1,1,greedy
6,596,336906,637.0,0,0.385,0.736,628,609.6,609.6,18.4,0.0,1,1,greedy
6,598,370253,2431.0,0,1.192,1.757,628,627.28,627.53,0.47,0.25,1,1,greedy
6,598,97581,958.0,0,0.474,2.101,634,632.65,632.81,1.19,0.16,1,1,greedy
6,600,238150,987.0,0,0.038,1.09,629,625.57,625.57,3.43,0.0,1,1,greedy
6,600,275515,2466.0,0,1.033,1.697,629,628.59,628.59,0.41,0.0,1,1,greedy
6,600,176358,2771.0,0,0.63,2.238,631,628.59,628.59,2.41,0.0,1,1,greedy
6,600,526578,2039.0,0,0.755,2.189,633,629.24,629.67,3.33,0.44,1,1,greedy
6,602,82114,1880.0,0,0.141,0.257,631,628.31,628.31,2.69,0.0,1,1,greedy
6,602,109794,836.0,0,0.158,1.172,631,627.56,627.56,3.44,0.0,1,1,greedy
6,602,392009,1746.0,0,0.864,1.76,631,628.49,628.71,2.29,0.22,1,1,greedy
6,602,429497,4228.0,0,0.063,0.541,631,626.62,626.62,4.38,0.0,1,1,greedy
6,602,445594,637.0,0,0.441,0.554,631,622.14,623.0,8.0,0.86,1,1,greedy
6,602,60070,2677.0,0,0.588,1.94,639,630.25,631.26,7.74,1.0,1,1,greedy
6,602,252636,996.0,0,0.784,1.975,642,631.93,631.93,10.07,0.0,1,1,greedy
6,604,298077,1225.0,0,0.888,1.61,634,629.41,630.57,3.43,1.16,1,1,greedy
